participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._round_number;participant._current_page_name;participant.ip_address;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.subsession_id;player.group_id;player.payoff;group.id_in_subsession;group.n_linked_words;group.link_word;group.linked_words;group.confidence;group.guessing;group.how_success;group.is_success;group.subsession_id;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;509;1062;0;1;;;;;;;;509;29;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;509;1062;0;1;;;;;;;;509;29;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;510;1063;0;1;;;;;;;;510;30;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;510;1063;0;1;;;;;;;;510;30;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;511;1064;0;1;;;;;;;;511;31;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;511;1064;0;1;;;;;;;;511;31;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;512;1065;0;1;;;;;;;;512;32;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;512;1065;0;1;;;;;;;;512;32;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;513;1066;0;1;;;;;;;;513;33;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;513;1066;0;1;;;;;;;;513;33;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;514;1067;0;1;;;;;;;;514;34;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;514;1067;0;1;;;;;;;;514;34;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;515;1068;0;1;;;;;;;;515;35;c5ax67xj;;;;;;0
